country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kenya,,,,,,,,,,,,77.6,82,84.7,86.9,89.9,95.8,97.4,100,104,104,108,106,106,107,112,115,124,117,120,124,125,125,127,125,126,128,125,126,117,104,114,113,119,126,128,136,139,139,140,148,149,150,161,164,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330,2320,2330,1910,1900,2070,1970,1800,1680,1800,1700,1450,1370,1640,1420,1370,1380,1460,1380,1320,1370,1650,1810,1890,1940,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,20,24.3,26.6,30.2,32.7,36.5,50.3,51.5,55.7,66.8,80.7,101,115,128,144,165,207,222,271,,,,,
South Korea,,,,,,,,,,,,296,344,397,459,502,578,659,780,881,914,972,1030,1140,1250,1340,1480,1670,1920,2100,2370,2590,2830,3090,3500,3880,4280,4650,4440,4880,5910,6310,6670,6980,7390,7800,8040,8460,8770,8880,9720,10.1k,10.3k,10.4k,10.5k,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560,1970,1950,1910,2110,2170,2230,2400,2640,2560,2650,2950,2860,2920,2820,,,,,
Kuwait,,,,,,,,,,,,3020,3540,3710,3900,4170,4390,4780,5250,6120,6060,6400,7140,7290,7740,8170,8550,8640,8930,9370,8220,4970,,,,13.1k,13.9k,13.9k,14.6k,14.4k,14.1k,14.5k,15.1k,16.4k,16.7k,17.1k,17.8k,17.1k,17k,16.5k,16.8k,15.9k,16.1k,15.2k,15.6k,,,,,
Lebanon,,,,,,,,,,,,525,575,649,700,646,693,744,814,920,980,1060,1150,1250,1310,1320,1420,1570,1340,825,499,958,1100,1220,1290,1340,1800,2120,2560,2520,2510,2480,2540,2500,2410,2380,2300,2400,2560,2730,3050,2950,2490,2770,2590,,,,,
Libya,,,,,,,,,,,,179,191,370,427,540,648,776,886,1050,1120,1090,1060,1030,1010,999,1050,1430,1530,1500,1580,1660,1750,1810,1820,1770,1790,1800,2100,2180,2220,2260,2770,2950,3110,3430,3790,3790,3160,3140,3360,2840,2240,2320,1810,,,,,
Sri Lanka,,,,,,,,,,,,57.7,64.2,66.5,67,71,72.6,74.5,81.1,89.1,94.8,101,110,115,118,128,137,137,141,138,151,158,166,183,200,216,204,230,249,263,295,291,303,326,354,400,403,420,426,425,460,502,524,526,531,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,4020,3170,2490,2500,2540,2740,2730,2830,2700,2520,2700,2850,3090,3200,3190,3350,3560,3730,3620,3470,3530,3610,3660,3820,,,,,
